アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
15,4.09,5.29,1.3,1.55,-0.332,-0.851,61,緑色瓶,本醸造酒
15.3,6.77,3.44,1.21,1.57,-0.312,-0.695,63,茶色瓶,本醸造酒
15.6,4.93,5.31,1.09,0.798,-0.037,-0.839,63,茶色瓶,本醸造酒
15.9,4.71,4.02,1.16,1.32,-0.059,-0.883,67,茶色瓶,本醸造酒
15.6,3.07,4.25,1.5,2.35,-0.192,-0.965,69,茶色瓶,本醸造酒
15.8,2.22,4.51,1.66,1.48,-0.249,-0.851,66,茶色瓶,本醸造酒
15.6,1.22,4.12,1.26,0.915,-0.077,-0.879,64,茶色瓶,本醸造酒
16.5,6.9,4.79,1.3,1.15,-0.342,-0.89,67,茶色瓶,本醸造酒
15.8,-4.68,4.52,1.25,1.25,0.029,-0.916,65,茶色瓶,本醸造酒
14.9,2.92,3.96,1.34,1.67,-0.177,-0.787,66,茶色瓶,本醸造酒
15.5,4.88,3.58,1.37,1.46,-0.248,-0.999,65,茶色瓶,本醸造酒
15.1,6.34,3.79,1.43,1.81,-0.294,-0.741,72,茶色瓶,本醸造酒
15.4,4.94,4.4,1.15,1.69,-0.435,-0.823,65,緑色瓶,本醸造酒
15.1,2.6,4.43,1.48,1.23,-0.406,-0.764,63,緑色瓶,本醸造酒
15.5,-0.241,4.48,1.17,1.26,-0.299,-0.783,63,茶色瓶,本醸造酒
15.6,0.764,5.04,1.38,1.35,-0.12,-0.824,66,茶色瓶,本醸造酒
15,3.14,5.21,0.908,0.926,-0.302,-0.856,66,茶色瓶,本醸造酒
14.8,4.16,3.82,1.36,1.42,-0.481,-0.82,65,茶色瓶,本醸造酒
15.4,6.36,3.99,1.05,1.21,-0.318,-0.814,65,茶色瓶,本醸造酒
15.3,8.12,4.95,1.35,0.83,-0.338,-0.845,66,茶色瓶,本醸造酒
15.7,2.25,3.29,1.63,1.22,-0.2,-0.738,64,茶色瓶,本醸造酒
15.5,2.63,4.19,1.64,1.28,-0.136,-0.967,64,緑色瓶,本醸造酒
15.3,9.72,3.35,1.46,1.31,-0.377,-0.72,63,茶色瓶,本醸造酒
15.5,6.44,4.15,1.19,1.24,-0.341,-0.802,66,緑色瓶,本醸造酒
15.6,7.22,4,1.22,1.08,-0.421,-0.728,65,茶色瓶,本醸造酒
15.8,0.482,5.12,1.34,1.68,-0.128,-0.844,67,茶色瓶,本醸造酒
15.3,4.36,3.46,1.24,1.72,-0.325,-0.896,67,茶色瓶,本醸造酒
15.4,3.46,4.24,1.5,1.01,-0.436,-0.87,63,緑色瓶,本醸造酒
16.3,-1.58,4.4,1.42,1.19,-0.277,-0.859,65,茶色瓶,本醸造酒
14.8,10.6,4.3,1.1,1.29,-0.181,-0.856,66,茶色瓶,本醸造酒
15.9,5.42,4.11,1.32,1.24,-0.326,-0.933,69,緑色瓶,本醸造酒
15.6,1.09,4.93,1.47,1.9,-0.38,-0.8,66,緑色瓶,本醸造酒
14.9,6.01,4.65,1.16,1.56,-0.244,-0.873,66,緑色瓶,本醸造酒
14.9,7.46,4.8,1.57,1.39,-0.347,-0.738,64,青色瓶,本醸造酒
15.4,6.78,4.81,1.46,1.48,-0.181,-0.829,67,茶色瓶,本醸造酒
15.7,1.33,4.26,0.962,1.52,-0.293,-0.822,65,緑色瓶,本醸造酒
14.9,3.73,4.21,1.36,1.1,-0.217,-1.01,64,茶色瓶,本醸造酒
15.7,2.16,4.81,1.26,1.11,-0.279,-0.783,66,茶色瓶,本醸造酒
15.1,3.34,5.17,1.93,0.938,-0.374,-0.879,65,茶色瓶,本醸造酒
15.4,3.43,4.84,1.67,1.37,-0.476,-0.746,67,茶色瓶,本醸造酒
15.1,4.97,4.46,1.04,1.7,-0.33,-0.96,62,茶色瓶,本醸造酒
15.3,2.73,3.75,1.25,1.06,-0.423,-0.83,70,茶色瓶,本醸造酒
15.1,4.26,4.34,1.35,1.3,-0.313,-0.85,65,茶色瓶,本醸造酒
15.1,1.38,4.48,1.82,1.36,-0.712,-0.895,62,緑色瓶,本醸造酒
15.4,2.73,5.08,1.23,1.52,-0.365,-0.829,66,青色瓶,本醸造酒
15.4,0.142,4.61,1.08,0.784,-0.114,-0.906,68,茶色瓶,本醸造酒
15.9,3.56,4.14,1.17,1.31,-0.15,-0.84,62,茶色瓶,本醸造酒
